"Time (YYYY:MM:DD)","Range (km)"
2018:05:22:01:32:03.000,5781.376953
2018:05:22:01:42:03.000,5344.954321
2018:05:22:01:52:03.000,4896.814875
2018:05:22:02:02:03.000,4439.826319
2018:05:22:02:12:03.000,3979.756333
2018:05:22:02:22:03.000,3527.877732
2018:05:22:02:32:03.000,3105.894619
2018:05:22:02:42:03.000,2754.121084
2018:05:22:02:51:37.651,2544.272503
2018:05:22:09:17:38.259,13915.444735
2018:05:22:09:27:38.000,14071.886042
2018:05:22:09:37:38.000,14222.382402
2018:05:22:09:47:38.000,14366.956591
2018:05:22:09:57:38.000,14505.694913
2018:05:22:10:07:38.000,14638.678611
2018:05:22:10:17:38.000,14765.984119
2018:05:22:10:27:38.000,14887.683304
2018:05:22:10:37:38.000,15003.843685
2018:05:22:10:47:38.000,15114.528635
2018:05:22:10:57:38.000,15219.797574
2018:05:22:11:07:38.000,15319.706135
2018:05:22:11:17:38.000,15414.306332
2018:05:22:11:27:38.000,15503.646701
2018:05:22:11:37:38.000,15587.772440
2018:05:22:11:47:38.000,15666.725527
2018:05:22:11:57:38.000,15740.544842
2018:05:22:12:07:38.000,15809.266261
2018:05:22:12:17:38.000,15872.922759
2018:05:22:12:27:38.000,15931.544490
2018:05:22:12:37:38.000,15985.158867
2018:05:22:12:47:38.000,16033.790630
2018:05:22:12:57:38.000,16077.461909
2018:05:22:13:07:38.000,16116.192278
2018:05:22:13:17:38.000,16149.998803
2018:05:22:13:27:38.000,16178.896082
2018:05:22:13:37:38.000,16202.896284
2018:05:22:13:47:38.000,16222.009171
2018:05:22:13:57:38.000,16236.242125
2018:05:22:14:07:38.000,16245.600164
2018:05:22:14:17:38.000,16250.085950
2018:05:22:14:27:38.000,16249.699796
2018:05:22:14:37:38.000,16244.439662
2018:05:22:14:47:38.000,16234.301152
2018:05:22:14:57:38.000,16219.277494
2018:05:22:15:07:38.000,16199.359529
2018:05:22:15:17:38.000,16174.535678
2018:05:22:15:27:38.000,16144.791914
2018:05:22:15:37:38.000,16110.111723
2018:05:22:15:47:38.000,16070.476058
2018:05:22:15:57:38.000,16025.863288
2018:05:22:16:07:38.000,15976.249137
2018:05:22:16:17:38.000,15921.606614
2018:05:22:16:27:38.000,15861.905945
2018:05:22:16:37:38.000,15797.114477
2018:05:22:16:47:38.000,15727.196595
2018:05:22:16:57:38.000,15652.113611
