"Time (YYYY:MM:DD)","Range (km)"
2008:07:17:20:36:35.000,19367.685406
2008:07:17:20:46:35.000,19599.149671
2008:07:17:20:56:35.000,19827.171346
2008:07:17:21:06:35.000,20051.816810
2008:07:17:21:16:35.000,20273.149606
2008:07:17:21:26:35.000,20491.230689
2008:07:17:21:36:35.000,20706.118548
2008:07:17:21:46:35.000,20917.869339
2008:07:17:21:56:35.000,21126.537013
2008:07:17:22:06:35.000,21332.173431
2008:07:17:22:16:35.000,21534.828474
2008:07:17:22:26:35.000,21734.550144
2008:07:17:22:36:35.000,21931.384644
2008:07:17:22:46:35.000,22125.376532
2008:07:17:22:56:35.000,22316.568704
2008:07:17:23:06:35.000,22505.002538
2008:07:17:23:16:35.000,22690.717952
2008:07:17:23:26:35.000,22873.753473
2008:07:17:23:36:35.000,23054.146299
2008:07:17:23:46:35.000,23231.932360
2008:07:17:23:56:35.000,23407.146378
2008:07:18:00:06:35.000,23579.821917
2008:07:18:00:16:35.000,23749.991433
2008:07:18:00:26:35.000,23917.686327
2008:07:18:00:36:35.000,24082.936968
2008:07:18:00:46:35.000,24245.772799
2008:07:18:00:56:35.000,24406.222289
2008:07:18:01:06:35.000,24564.313027
2008:07:18:01:16:35.000,24720.071743
2008:07:18:01:26:35.000,24873.524348
2008:07:18:01:36:35.000,25024.695956
2008:07:18:01:46:35.000,25173.610925
2008:07:18:01:56:35.000,25320.292879
2008:07:18:02:06:35.000,25464.764737
2008:07:18:02:16:35.000,25607.048740
2008:07:18:02:26:35.000,25747.166475
2008:07:18:02:36:35.000,25885.138901
2008:07:18:02:46:35.000,26020.986368
2008:07:18:02:56:35.000,26154.728626
2008:07:18:03:06:35.000,26286.384897
2008:07:18:03:16:35.000,26415.973819
2008:07:18:03:26:35.000,26543.513515
2008:07:18:03:36:35.000,26669.021597
2008:07:18:03:46:35.000,26792.515182
2008:07:18:03:56:35.000,26914.010910
2008:07:18:04:06:35.000,27033.524957
2008:07:18:04:16:35.000,27151.073052
2008:07:18:04:26:35.000,27266.670491
2008:07:18:04:36:35.000,27380.332146
2008:07:18:04:46:35.000,27492.072483
2008:07:18:04:56:35.000,27601.905572
2008:07:18:05:06:35.000,27709.845097
2008:07:18:05:16:35.000,27815.904372
2008:07:18:05:26:35.000,27920.096344
2008:07:18:05:36:35.000,28022.433603
2008:07:18:05:46:35.000,28122.928422
2008:07:18:05:56:35.000,28221.592712
2008:07:18:06:06:35.000,28318.438072
2008:07:18:06:16:35.000,28413.475784
2008:07:18:06:26:35.000,28506.716823
2008:07:18:06:36:35.000,28598.171863
2008:07:18:06:46:35.000,28687.851291
2008:07:18:06:56:35.000,28775.765205
2008:07:18:07:06:35.000,28861.923427
2008:07:18:07:16:35.000,28946.335511
2008:07:18:07:26:35.000,29029.010743
2008:07:18:07:36:35.000,29109.958153
2008:07:18:07:46:35.000,29189.186521
2008:07:18:07:56:35.000,29266.704376
2008:07:18:08:06:35.000,29342.520012
2008:07:18:08:16:35.000,29416.641483
2008:07:18:08:26:35.000,29489.076615
2008:07:18:08:36:35.000,29559.833001
2008:07:18:08:46:35.000,29628.918034
2008:07:18:08:56:35.000,29696.338869
2008:07:18:09:06:35.000,29762.102459
2008:07:18:09:16:35.000,29826.215546
2008:07:18:09:26:35.000,29888.684669
2008:07:18:09:36:35.000,29949.516169
2008:07:18:09:46:35.000,30008.716188
2008:07:18:09:56:35.000,30066.290676
2008:07:18:10:06:35.000,30122.245396
2008:07:18:10:16:35.000,30176.585921
2008:07:18:10:26:35.000,30229.317645
2008:07:18:10:36:35.000,30280.445779
2008:07:18:10:46:35.000,30329.975359
2008:07:18:10:56:35.000,30377.911245
2008:07:18:11:06:35.000,30424.258125
2008:07:18:11:16:35.000,30469.020522
2008:07:18:11:26:35.000,30512.202786
2008:07:18:11:36:35.000,30553.809107
2008:07:18:11:46:35.000,30593.843509
2008:07:18:11:56:35.000,30632.309865
2008:07:18:12:06:35.000,30669.211880
2008:07:18:12:16:35.000,30704.553105
2008:07:18:12:26:35.000,30738.336940
2008:07:18:12:36:35.000,30770.566629
2008:07:18:12:46:35.000,30801.245268
2008:07:18:12:56:35.000,30830.375801
2008:07:18:13:06:35.000,30857.961025
2008:07:18:13:16:35.000,30884.003593
2008:07:18:13:26:35.000,30908.506009
2008:07:18:13:36:35.000,30931.470637
2008:07:18:13:46:35.000,30952.899694
2008:07:18:13:56:35.000,30972.795260
2008:07:18:14:06:35.000,30991.159271
2008:07:18:14:16:35.000,31007.993525
2008:07:18:14:26:35.000,31023.299682
2008:07:18:14:36:35.000,31037.079262
2008:07:18:14:46:35.000,31049.333649
2008:07:18:14:56:35.000,31060.064092
2008:07:18:15:06:35.000,31069.271701
2008:07:18:15:16:35.000,31076.957455
2008:07:18:15:26:35.000,31083.122194
2008:07:18:15:36:35.000,31087.766626
2008:07:18:15:46:35.000,31090.891324
2008:07:18:15:56:35.000,31092.496727
2008:07:18:16:06:35.000,31092.583142
2008:07:18:16:16:35.000,31091.150741
2008:07:18:16:26:35.000,31088.199564
2008:07:18:16:36:35.000,31083.729517
2008:07:18:16:46:35.000,31077.740372
2008:07:18:16:56:35.000,31070.231770
2008:07:18:17:06:35.000,31061.203215
2008:07:18:17:16:35.000,31050.654080
2008:07:18:17:26:35.000,31038.583604
2008:07:18:17:36:35.000,31024.990890
2008:07:18:17:46:35.000,31009.874907
2008:07:18:17:56:35.000,30993.234488
2008:07:18:18:06:35.000,30975.068332
2008:07:18:18:16:35.000,30955.374999
2008:07:18:18:26:35.000,30934.152916
2008:07:18:18:36:35.000,30911.400365
2008:07:18:18:46:35.000,30887.115496
2008:07:18:18:56:35.000,30861.296316
2008:07:18:19:06:35.000,30833.940692
2008:07:18:19:16:35.000,30805.046352
2008:07:18:19:26:35.000,30774.610878
2008:07:18:19:36:35.000,30742.631708
2008:07:18:19:46:35.000,30709.106138
2008:07:18:19:56:35.000,30674.031315
2008:07:18:20:06:35.000,30637.404239
2008:07:18:20:16:35.000,30599.221760
2008:07:18:20:26:35.000,30559.480579
2008:07:18:20:36:35.000,30518.177242
2008:07:18:20:46:35.000,30475.308142
2008:07:18:20:56:35.000,30430.869515
2008:07:18:21:06:35.000,30384.857441
2008:07:18:21:16:35.000,30337.267838
2008:07:18:21:26:35.000,30288.096462
2008:07:18:21:36:35.000,30237.338906
2008:07:18:21:46:35.000,30184.990600
2008:07:18:21:56:35.000,30131.046790
