"Time (YYYY:MM:DD)","Range (km)"
2018:05:25:10:53:42.000,3931.006178
2018:05:25:11:03:42.000,3886.342610
2018:05:25:11:13:42.000,3862.898548
2018:05:25:11:23:42.000,3861.441073
2018:05:25:11:33:42.000,3882.018540
2018:05:25:11:43:42.000,3923.956199
2018:05:25:11:53:42.000,3985.916199
2018:05:25:12:03:42.000,4066.009297
2018:05:25:12:13:42.000,4161.936644
2018:05:25:12:23:42.000,4271.138232
2018:05:25:12:33:42.000,4390.929013
2018:05:25:12:35:00.832,4407.311939
2018:05:25:18:17:28.924,4407.311121
2018:05:25:18:27:28.000,4286.482080
2018:05:25:18:37:28.000,4175.686880
2018:05:25:18:47:28.000,4077.811722
2018:05:25:18:57:28.000,3995.441639
2018:05:25:19:07:28.000,3930.919841
2018:05:25:19:17:28.000,3886.199894
2018:05:25:19:27:28.000,3862.701641
2018:05:25:19:37:28.000,3861.194016
2018:05:25:19:47:28.000,3881.727048
2018:05:25:19:57:28.000,3923.627327
2018:05:25:20:07:28.000,3985.557908
2018:05:25:20:17:28.000,4065.629994
2018:05:25:20:27:28.000,4161.544749
2018:05:25:20:37:28.000,4270.741839
2018:05:25:20:47:28.000,4390.535636
2018:05:25:20:48:48.708,4407.311128
2018:05:26:02:31:15.650,4407.311856
2018:05:26:02:41:15.000,4286.396739
2018:05:26:02:51:15.000,4175.572544
2018:05:26:03:01:15.000,4077.669200
2018:05:26:03:11:15.000,3995.272614
2018:05:26:03:21:15.000,3930.726930
2018:05:26:03:31:15.000,3885.986636
2018:05:26:03:41:15.000,3862.472401
2018:05:26:03:51:15.000,3860.953794
2018:05:26:04:01:15.000,3881.481223
2018:05:26:04:11:15.000,3923.381358
2018:05:26:04:21:15.000,3985.317054
2018:05:26:04:31:15.000,4065.399068
2018:05:26:04:41:15.000,4161.327957
2018:05:26:04:51:15.000,4270.542685
2018:05:26:05:01:15.000,4390.356902
2018:05:26:05:02:36.551,4407.311183
2018:05:26:10:45:02.299,4407.311186
2018:05:26:10:55:02.000,4286.293700
2018:05:26:11:05:02.000,4175.440884
2018:05:26:11:15:02.000,4077.510095
2018:05:26:11:25:02.000,3995.088126
2018:05:26:11:35:02.000,3930.520048
2018:05:26:11:45:02.000,3885.761247
2018:05:26:11:55:02.000,3862.233171
2018:05:26:12:05:02.000,3860.705961
2018:05:26:12:15:02.000,3881.230322
2018:05:26:12:25:02.000,3923.132921
2018:05:26:12:35:02.000,3985.076322
2018:05:26:12:45:02.000,4065.170764
2018:05:26:12:55:02.000,4161.116128
2018:05:26:13:05:02.000,4270.350628
2018:05:26:13:15:02.000,4390.187153
2018:05:26:13:16:24.351,4407.311743
2018:05:26:18:58:48.861,4407.311139
2018:05:26:19:08:48.000,4286.367557
2018:05:26:19:18:48.000,4175.467386
2018:05:26:19:28:48.000,4077.486346
2018:05:26:19:38:48.000,3995.012404
2018:05:26:19:48:48.000,3930.392072
2018:05:26:19:58:48.000,3885.582375
2018:05:26:20:08:48.000,3862.006488
2018:05:26:20:18:48.000,3860.436213
2018:05:26:20:28:48.000,3880.923692
2018:05:26:20:38:48.000,3922.796676
2018:05:26:20:48:48.000,3984.718379
2018:05:26:20:58:48.000,4064.799253
2018:05:26:21:08:48.000,4160.739003
2018:05:26:21:18:48.000,4269.975362
2018:05:26:21:28:48.000,4389.820539
2018:05:26:21:30:12.096,4407.311115
2018:05:27:03:12:35.338,4407.312041
2018:05:27:03:22:35.000,4286.230771
2018:05:27:03:32:35.000,4175.303306
2018:05:27:03:42:35.000,4077.296869
2018:05:27:03:52:35.000,3994.800315
2018:05:27:04:02:35.000,3930.161053
2018:05:27:04:12:35.000,3885.336940
2018:05:27:04:22:35.000,3861.751819
2018:05:27:04:32:35.000,3860.177922
2018:05:27:04:42:35.000,3880.667524
2018:05:27:04:52:35.000,3922.548196
2018:05:27:05:02:35.000,3984.482694
2018:05:27:05:12:35.000,4064.580804
2018:05:27:05:22:35.000,4160.541437
2018:05:27:05:32:35.000,4269.801489
2018:05:27:05:42:35.000,4389.672355
2018:05:27:05:43:59.787,4407.311167
2018:05:27:11:26:21.742,4407.311492
2018:05:27:11:36:21.000,4286.272298
2018:05:27:11:46:21.000,4175.299184
2018:05:27:11:56:21.000,4077.244903
2018:05:27:12:06:21.000,3994.699478
2018:05:27:12:16:21.000,3930.011715
2018:05:27:12:26:21.000,3885.141030
2018:05:27:12:36:21.000,3861.512876
2018:05:27:12:46:21.000,3859.900996
2018:05:27:12:56:21.000,3880.358934
2018:05:27:13:06:21.000,3922.215168
2018:05:27:13:16:21.000,3984.132944
2018:05:27:13:26:21.000,4064.222119
2018:05:27:13:36:21.000,4160.181319
2018:05:27:13:46:21.000,4269.446885
2018:05:27:13:56:21.000,4389.329484
2018:05:27:13:57:47.420,4407.311538
2018:05:27:19:40:08.071,4407.311162
2018:05:27:19:50:08.000,4286.104548
2018:05:27:20:00:08.000,4175.106203
2018:05:27:20:10:08.000,4077.029275
2018:05:27:20:20:08.000,3994.464656
2018:05:27:20:30:08.000,3929.761996
2018:05:27:20:40:08.000,3884.881449
2018:05:27:20:50:08.000,3861.249012
