"Time (YYYY:MM:DD)","Range (km)","Elevation (deg)","Azimuth (deg)"
2018:05:18:14:43:10.000,2478.442060,-55.111,239.907
2018:05:18:14:43:45.605,2491.433321,-55.110,239.392
2018:05:18:18:05:08.130,2491.432691,-55.110,300.612
2018:05:18:18:06:08.000,2469.700157,-55.113,299.741
2018:05:18:18:07:08.000,2448.506569,-55.122,298.837
2018:05:18:18:08:08.000,2427.928328,-55.137,297.901
2018:05:18:18:09:08.000,2407.994167,-55.158,296.935
2018:05:18:18:10:08.000,2388.732760,-55.183,295.936
2018:05:18:18:11:08.000,2370.172629,-55.212,294.907
2018:05:18:18:12:08.000,2352.342048,-55.246,293.846
2018:05:18:18:13:08.000,2335.268940,-55.283,292.754
2018:05:18:18:14:08.000,2318.980767,-55.322,291.631
2018:05:18:18:15:08.000,2303.504413,-55.364,290.478
2018:05:18:18:16:08.000,2288.866063,-55.407,289.296
2018:05:18:18:17:08.000,2275.091081,-55.451,288.085
2018:05:18:18:18:08.000,2262.203881,-55.495,286.846
2018:05:18:18:19:08.000,2250.227795,-55.539,285.582
2018:05:18:18:20:08.000,2239.184946,-55.581,284.292
2018:05:18:18:21:08.000,2229.096120,-55.622,282.978
2018:05:18:18:22:08.000,2219.980639,-55.661,281.642
2018:05:18:18:23:08.000,2211.856237,-55.697,280.287
2018:05:18:18:24:08.000,2204.738949,-55.730,278.913
2018:05:18:18:25:08.000,2198.643001,-55.758,277.524
2018:05:18:18:26:08.000,2193.580713,-55.783,276.121
2018:05:18:18:27:08.000,2189.562414,-55.802,274.706
2018:05:18:18:28:08.000,2186.596362,-55.817,273.283
2018:05:18:18:29:08.000,2184.688693,-55.827,271.854
2018:05:18:18:30:08.000,2183.843366,-55.831,270.422
2018:05:18:18:31:08.000,2184.062142,-55.830,268.988
2018:05:18:18:32:08.000,2185.344566,-55.823,267.557
2018:05:18:18:33:08.000,2187.687970,-55.812,266.130
2018:05:18:18:34:08.000,2191.087498,-55.795,264.710
2018:05:18:18:35:08.000,2195.536136,-55.773,263.300
2018:05:18:18:36:08.000,2201.024765,-55.747,261.902
2018:05:18:18:37:08.000,2207.542231,-55.717,260.519
2018:05:18:18:38:08.000,2215.075420,-55.683,259.153
2018:05:18:18:39:08.000,2223.609349,-55.646,257.805
2018:05:18:18:40:08.000,2233.127273,-55.606,256.478
2018:05:18:18:41:08.000,2243.610791,-55.564,255.174
2018:05:18:18:42:08.000,2255.039964,-55.521,253.894
2018:05:18:18:43:08.000,2267.393443,-55.477,252.640
2018:05:18:18:44:08.000,2280.648592,-55.433,251.413
2018:05:18:18:45:08.000,2294.781618,-55.389,250.214
2018:05:18:18:46:08.000,2309.767703,-55.346,249.043
2018:05:18:18:47:08.000,2325.581130,-55.306,247.903
2018:05:18:18:48:08.000,2342.195411,-55.267,246.793
2018:05:18:18:49:08.000,2359.583412,-55.232,245.713
2018:05:18:18:50:08.000,2377.717466,-55.200,244.665
2018:05:18:18:51:08.000,2396.569495,-55.172,243.648
2018:05:18:18:52:08.000,2416.111110,-55.149,242.663
2018:05:18:18:53:08.000,2436.313716,-55.131,241.709
2018:05:18:18:54:08.000,2457.148603,-55.118,240.787
2018:05:18:18:55:08.000,2478.587040,-55.111,239.896
2018:05:18:18:55:43.199,2491.433321,-55.110,239.387
2018:05:18:22:17:05.386,2491.432797,-55.110,300.616
2018:05:18:22:18:05.000,2469.789075,-55.113,299.749
2018:05:18:22:19:05.000,2448.589715,-55.122,298.845
2018:05:18:22:20:05.000,2428.005531,-55.137,297.910
2018:05:18:22:21:05.000,2408.065260,-55.158,296.944
2018:05:18:22:22:05.000,2388.797578,-55.183,295.946
2018:05:18:22:23:05.000,2370.231014,-55.212,294.916
2018:05:18:22:24:05.000,2352.393846,-55.246,293.855
2018:05:18:22:25:05.000,2335.314005,-55.282,292.763
2018:05:18:22:26:05.000,2319.018959,-55.322,291.641
2018:05:18:22:27:05.000,2303.535600,-55.364,290.488
2018:05:18:22:28:05.000,2288.890124,-55.407,289.306
2018:05:18:22:29:05.000,2275.107904,-55.451,288.095
2018:05:18:22:30:05.000,2262.213364,-55.495,286.857
2018:05:18:22:31:05.000,2250.229847,-55.539,285.592
2018:05:18:22:32:05.000,2239.179491,-55.581,284.302
2018:05:18:22:33:05.000,2229.083094,-55.622,282.988
2018:05:18:22:34:05.000,2219.959989,-55.661,281.653
2018:05:18:22:35:05.000,2211.827928,-55.697,280.297
2018:05:18:22:36:05.000,2204.702959,-55.730,278.924
2018:05:18:22:37:05.000,2198.599324,-55.758,277.534
2018:05:18:22:38:05.000,2193.529359,-55.783,276.131
2018:05:18:22:39:05.000,2189.503407,-55.803,274.717
2018:05:18:22:40:05.000,2186.529745,-55.817,273.294
2018:05:18:22:41:05.000,2184.614522,-55.827,271.864
2018:05:18:22:42:05.000,2183.761715,-55.831,270.432
2018:05:18:22:43:05.000,2183.973100,-55.830,268.998
2018:05:18:22:44:05.000,2185.248237,-55.824,267.566
2018:05:18:22:45:05.000,2187.584474,-55.812,266.139
2018:05:18:22:46:05.000,2190.976968,-55.795,264.719
2018:05:18:22:47:05.000,2195.418719,-55.774,263.309
2018:05:18:22:48:05.000,2200.900622,-55.748,261.911
2018:05:18:22:49:05.000,2207.411533,-55.717,260.528
2018:05:18:22:50:05.000,2214.938349,-55.683,259.161
2018:05:18:22:51:05.000,2223.466100,-55.646,257.813
2018:05:18:22:52:05.000,2232.978047,-55.606,256.486
2018:05:18:22:53:05.000,2243.455798,-55.565,255.182
2018:05:18:22:54:05.000,2254.879422,-55.521,253.902
2018:05:18:22:55:05.000,2267.227575,-55.477,252.647
2018:05:18:22:56:05.000,2280.477626,-55.433,251.420
2018:05:18:22:57:05.000,2294.605786,-55.389,250.220
2018:05:18:22:58:05.000,2309.587241,-55.347,249.050
2018:05:18:22:59:05.000,2325.396274,-55.306,247.909
2018:05:18:23:00:05.000,2342.006400,-55.268,246.798
2018:05:18:23:01:05.000,2359.390484,-55.232,245.719
