"Time (YYYY:MM:DD)","Range (km)","Elevation (deg)","Azimuth (deg)"
2018:05:26:11:24:10.000,3230.772135,-65.400,294.106
2018:05:26:11:25:10.000,3219.803253,-65.451,293.405
2018:05:26:11:26:10.000,3209.163700,-65.503,292.692
2018:05:26:11:27:10.000,3198.859576,-65.555,291.966
2018:05:26:11:28:10.000,3188.896854,-65.607,291.227
2018:05:26:11:29:10.000,3179.281375,-65.658,290.476
2018:05:26:11:30:10.000,3170.018839,-65.709,289.712
2018:05:26:11:31:10.000,3161.114794,-65.759,288.936
2018:05:26:11:32:10.000,3152.574629,-65.808,288.148
2018:05:26:11:33:10.000,3144.403563,-65.856,287.348
2018:05:26:11:34:10.000,3136.606638,-65.903,286.537
2018:05:26:11:35:10.000,3129.188708,-65.949,285.715
2018:05:26:11:36:10.000,3122.154432,-65.993,284.882
2018:05:26:11:37:10.000,3115.508263,-66.035,284.039
2018:05:26:11:38:10.000,3109.254445,-66.076,283.186
2018:05:26:11:39:10.000,3103.396997,-66.114,282.324
2018:05:26:11:40:10.000,3097.939713,-66.151,281.453
2018:05:26:11:41:10.000,3092.886149,-66.185,280.573
2018:05:26:11:42:10.000,3088.239619,-66.217,279.686
2018:05:26:11:43:10.000,3084.003188,-66.246,278.792
2018:05:26:11:44:10.000,3080.179662,-66.273,277.891
2018:05:26:11:45:10.000,3076.771589,-66.297,276.983
2018:05:26:11:46:10.000,3073.781248,-66.319,276.071
2018:05:26:11:47:10.000,3071.210647,-66.337,275.154
2018:05:26:11:48:10.000,3069.061515,-66.353,274.233
2018:05:26:11:49:10.000,3067.335306,-66.365,273.308
2018:05:26:11:50:10.000,3066.033187,-66.375,272.381
2018:05:26:11:51:10.000,3065.156041,-66.381,271.452
2018:05:26:11:52:10.000,3064.704463,-66.385,270.522
2018:05:26:11:53:10.000,3064.678760,-66.385,269.592
2018:05:26:11:54:10.000,3065.078949,-66.382,268.662
2018:05:26:11:55:10.000,3065.904759,-66.376,267.733
2018:05:26:11:56:10.000,3067.155627,-66.367,266.806
2018:05:26:11:57:10.000,3068.830705,-66.355,265.881
2018:05:26:11:58:10.000,3070.928859,-66.339,264.959
2018:05:26:11:59:10.000,3073.448670,-66.321,264.042
2018:05:26:12:00:10.000,3076.388441,-66.300,263.129
2018:05:26:12:01:10.000,3079.746197,-66.276,262.221
2018:05:26:12:02:10.000,3083.519691,-66.250,261.319
2018:05:26:12:03:10.000,3087.706407,-66.221,260.424
2018:05:26:12:04:10.000,3092.303568,-66.189,259.536
2018:05:26:12:05:10.000,3097.308141,-66.155,258.655
2018:05:26:12:06:10.000,3102.716841,-66.119,257.783
2018:05:26:12:07:10.000,3108.526140,-66.080,256.920
2018:05:26:12:08:10.000,3114.732272,-66.040,256.066
2018:05:26:12:09:10.000,3121.331244,-65.998,255.222
2018:05:26:12:10:10.000,3128.318838,-65.954,254.388
2018:05:26:12:11:10.000,3135.690627,-65.909,253.564
2018:05:26:12:12:10.000,3143.441975,-65.862,252.752
2018:05:26:12:13:10.000,3151.568050,-65.814,251.951
2018:05:26:12:14:10.000,3160.063833,-65.765,251.161
2018:05:26:12:15:10.000,3168.924126,-65.715,250.384
2018:05:26:12:16:10.000,3178.143558,-65.664,249.618
2018:05:26:12:17:10.000,3187.716601,-65.613,248.865
2018:05:26:12:18:10.000,3197.637571,-65.561,248.125
2018:05:26:12:19:10.000,3207.900645,-65.510,247.397
2018:05:26:12:20:10.000,3218.499863,-65.458,246.682
2018:05:26:12:21:10.000,3229.429141,-65.406,245.981
2018:05:26:12:22:10.000,3240.682282,-65.354,245.292
2018:05:26:12:23:10.000,3252.252979,-65.303,244.617
2018:05:26:12:24:10.000,3264.134828,-65.252,243.954
2018:05:26:12:25:10.000,3276.321337,-65.203,243.306
2018:05:26:12:26:10.000,3288.805931,-65.153,242.670
2018:05:26:12:27:10.000,3301.581966,-65.105,242.048
2018:05:26:12:28:10.000,3314.642730,-65.058,241.438
2018:05:26:12:29:10.000,3327.981457,-65.013,240.843
2018:05:26:12:30:10.000,3341.591331,-64.968,240.260
2018:05:26:12:31:10.000,3355.465495,-64.925,239.690
2018:05:26:12:32:10.000,3369.597060,-64.884,239.134
2018:05:26:12:33:10.000,3383.979107,-64.844,238.590
2018:05:26:12:34:10.000,3398.604698,-64.807,238.060
2018:05:26:12:35:10.000,3413.466882,-64.771,237.542
2018:05:26:12:36:10.000,3428.558698,-64.737,237.036
2018:05:26:12:37:10.000,3443.873185,-64.705,236.543
2018:05:26:12:38:10.000,3459.403384,-64.675,236.063
2018:05:26:12:39:10.000,3475.142348,-64.648,235.595
2018:05:26:12:40:10.000,3491.083142,-64.623,235.139
2018:05:26:12:41:10.000,3507.218850,-64.600,234.695
2018:05:26:12:42:10.000,3523.542579,-64.580,234.262
2018:05:26:12:43:10.000,3540.047467,-64.563,233.842
2018:05:26:12:44:10.000,3556.726681,-64.547,233.433
2018:05:26:12:45:10.000,3573.573424,-64.535,233.036
2018:05:26:12:46:10.000,3590.580940,-64.525,232.649
2018:05:26:12:47:10.000,3607.742512,-64.518,232.274
2018:05:26:12:48:10.000,3625.051473,-64.513,231.910
2018:05:26:12:49:10.000,3642.501201,-64.512,231.557
2018:05:26:12:49:16.679,3644.451984,-64.512,231.518
2018:05:26:17:23:37.717,3644.451938,-64.512,308.476
2018:05:26:17:24:37.000,3627.197785,-64.513,308.128
2018:05:26:17:25:37.000,3609.874086,-64.517,307.765
2018:05:26:17:26:37.000,3592.697004,-64.524,307.391
2018:05:26:17:27:37.000,3575.673202,-64.534,307.006
2018:05:26:17:28:37.000,3558.809388,-64.546,306.610
2018:05:26:17:29:37.000,3542.112314,-64.561,306.203
2018:05:26:17:30:37.000,3525.588770,-64.578,305.783
2018:05:26:17:31:37.000,3509.245584,-64.598,305.353
2018:05:26:17:32:37.000,3493.089614,-64.620,304.910
2018:05:26:17:33:37.000,3477.127749,-64.645,304.455
2018:05:26:17:34:37.000,3461.366900,-64.672,303.989
2018:05:26:17:35:37.000,3445.813997,-64.701,303.510
2018:05:26:17:36:37.000,3430.475988,-64.733,303.018
2018:05:26:17:37:37.000,3415.359827,-64.766,302.514
2018:05:26:17:38:37.000,3400.472475,-64.802,301.998
2018:05:26:17:39:37.000,3385.820889,-64.839,301.469
2018:05:26:17:40:37.000,3371.412022,-64.879,300.927
2018:05:26:17:41:37.000,3357.252812,-64.920,300.372
2018:05:26:17:42:37.000,3343.350178,-64.963,299.804
2018:05:26:17:43:37.000,3329.711012,-65.007,299.223
2018:05:26:17:44:37.000,3316.342173,-65.052,298.629
2018:05:26:17:45:37.000,3303.250480,-65.099,298.021
2018:05:26:17:46:37.000,3290.442705,-65.147,297.400
2018:05:26:17:47:37.000,3277.925562,-65.196,296.766
2018:05:26:17:48:37.000,3265.705703,-65.246,296.119
2018:05:26:17:49:37.000,3253.789710,-65.296,295.459
2018:05:26:17:50:37.000,3242.184083,-65.348,294.785
2018:05:26:17:51:37.000,3230.895235,-65.399,294.098
2018:05:26:17:52:37.000,3219.929481,-65.451,293.398
2018:05:26:17:53:37.000,3209.293032,-65.503,292.685
2018:05:26:17:54:37.000,3198.991982,-65.555,291.959
2018:05:26:17:55:37.000,3189.032304,-65.606,291.220
2018:05:26:17:56:37.000,3179.419836,-65.657,290.468
2018:05:26:17:57:37.000,3170.160277,-65.708,289.704
2018:05:26:17:58:37.000,3161.259171,-65.758,288.928
2018:05:26:17:59:37.000,3152.721907,-65.807,288.140
2018:05:26:18:00:37.000,3144.553700,-65.855,287.341
2018:05:26:18:01:37.000,3136.759590,-65.902,286.530
2018:05:26:18:02:37.000,3129.344429,-65.948,285.708
2018:05:26:18:03:37.000,3122.312873,-65.992,284.875
2018:05:26:18:04:37.000,3115.669375,-66.034,284.032
2018:05:26:18:05:37.000,3109.418174,-66.075,283.180
2018:05:26:18:06:37.000,3103.563289,-66.113,282.318
2018:05:26:18:07:37.000,3098.108511,-66.150,281.447
2018:05:26:18:08:37.000,3093.057394,-66.184,280.567
2018:05:26:18:09:37.000,3088.413251,-66.216,279.680
2018:05:26:18:10:37.000,3084.179142,-66.245,278.786
2018:05:26:18:11:37.000,3080.357875,-66.272,277.885
2018:05:26:18:12:37.000,3076.951994,-66.296,276.978
2018:05:26:18:13:37.000,3073.963776,-66.317,276.066
2018:05:26:18:14:37.000,3071.395227,-66.336,275.149
2018:05:26:18:15:37.000,3069.248077,-66.351,274.228
2018:05:26:18:16:37.000,3067.523776,-66.364,273.304
2018:05:26:18:17:37.000,3066.223490,-66.373,272.377
2018:05:26:18:18:37.000,3065.348101,-66.380,271.449
2018:05:26:18:19:37.000,3064.898203,-66.383,270.519
2018:05:26:18:20:37.000,3064.874101,-66.383,269.589
2018:05:26:18:21:37.000,3065.275811,-66.380,268.659
2018:05:26:18:22:37.000,3066.103061,-66.374,267.730
2018:05:26:18:23:37.000,3067.355288,-66.365,266.803
2018:05:26:18:24:37.000,3069.031642,-66.353,265.878
2018:05:26:18:25:37.000,3071.130989,-66.338,264.957
2018:05:26:18:26:37.000,3073.651910,-66.320,264.040
2018:05:26:18:27:37.000,3076.592707,-66.299,263.127
2018:05:26:18:28:37.000,3079.951403,-66.275,262.219
2018:05:26:18:29:37.000,3083.725753,-66.248,261.318
2018:05:26:18:30:37.000,3087.913240,-66.219,260.423
2018:05:26:18:31:37.000,3092.511087,-66.188,259.535
2018:05:26:18:32:37.000,3097.516261,-66.154,258.655
2018:05:26:18:33:37.000,3102.925477,-66.117,257.783
2018:05:26:18:34:37.000,3108.735207,-66.079,256.920
2018:05:26:18:35:37.000,3114.941687,-66.039,256.066
2018:05:26:18:36:37.000,3121.540922,-65.997,255.222
2018:05:26:18:37:37.000,3128.528697,-65.953,254.388
2018:05:26:18:38:37.000,3135.900583,-65.907,253.565
2018:05:26:18:39:37.000,3143.651946,-65.861,252.753
2018:05:26:18:40:37.000,3151.777956,-65.813,251.952
2018:05:26:18:41:37.000,3160.273593,-65.764,251.162
2018:05:26:18:42:37.000,3169.133660,-65.714,250.385
2018:05:26:18:43:37.000,3178.352789,-65.663,249.620
2018:05:26:18:44:37.000,3187.925450,-65.612,248.867
2018:05:26:18:45:37.000,3197.845963,-65.560,248.127
2018:05:26:18:46:37.000,3208.108504,-65.509,247.399
2018:05:26:18:47:37.000,3218.707116,-65.457,246.685
2018:05:26:18:48:37.000,3229.635716,-65.405,245.983
2018:05:26:18:49:37.000,3240.888107,-65.353,245.295
2018:05:26:18:50:37.000,3252.457984,-65.302,244.619
2018:05:26:18:51:37.000,3264.338945,-65.252,243.957
2018:05:26:18:52:37.000,3276.524499,-65.202,243.309
2018:05:26:18:53:37.000,3289.008073,-65.153,242.673
2018:05:26:18:54:37.000,3301.783023,-65.105,242.051
2018:05:26:18:55:37.000,3314.842640,-65.058,241.442
2018:05:26:18:56:37.000,3328.180159,-65.012,240.846
2018:05:26:18:57:37.000,3341.788766,-64.968,240.264
2018:05:26:18:58:37.000,3355.661606,-64.925,239.694
2018:05:26:18:59:37.000,3369.791789,-64.883,239.138
2018:05:26:19:00:37.000,3384.172400,-64.844,238.594
2018:05:26:19:01:37.000,3398.796502,-64.806,238.064
2018:05:26:19:02:37.000,3413.657145,-64.770,237.546
2018:05:26:19:03:37.000,3428.747370,-64.736,237.041
2018:05:26:19:04:37.000,3444.060218,-64.705,236.548
2018:05:26:19:05:37.000,3459.588731,-64.675,236.068
2018:05:26:19:06:37.000,3475.325964,-64.648,235.600
2018:05:26:19:07:37.000,3491.264982,-64.623,235.144
2018:05:26:19:08:37.000,3507.398872,-64.600,234.700
2018:05:26:19:09:37.000,3523.720743,-64.580,234.267
2018:05:26:19:10:37.000,3540.223733,-64.562,233.847
2018:05:26:19:11:37.000,3556.901012,-64.547,233.438
2018:05:26:19:12:37.000,3573.745782,-64.535,233.041
2018:05:26:19:13:37.000,3590.751290,-64.525,232.655
2018:05:26:19:14:37.000,3607.910822,-64.518,232.280
2018:05:26:19:15:37.000,3625.217710,-64.513,231.915
2018:05:26:19:16:37.000,3642.665334,-64.512,231.562
2018:05:26:19:16:43.121,3644.453023,-64.512,231.527
2018:05:26:23:51:04.864,3644.452077,-64.512,308.467
2018:05:26:23:52:04.000,3627.243933,-64.513,308.120
2018:05:26:23:53:04.000,3609.923354,-64.517,307.757
2018:05:26:23:54:04.000,3592.749407,-64.524,307.383
2018:05:26:23:55:04.000,3575.728753,-64.534,306.998
2018:05:26:23:56:04.000,3558.868100,-64.546,306.602
2018:05:26:23:57:04.000,3542.174198,-64.560,306.194
2018:05:26:23:58:04.000,3525.653836,-64.578,305.775
2018:05:26:23:59:04.000,3509.313841,-64.598,305.345
2018:05:27:00:00:04.000,3493.161069,-64.620,304.902
2018:05:27:00:01:04.000,3477.202409,-64.645,304.447
2018:05:27:00:02:04.000,3461.444769,-64.672,303.981
2018:05:27:00:03:04.000,3445.895079,-64.701,303.502
2018:05:27:00:04:04.000,3430.560284,-64.733,303.010
2018:05:27:00:05:04.000,3415.447338,-64.766,302.506
2018:05:27:00:06:04.000,3400.563199,-64.802,301.990
2018:05:27:00:07:04.000,3385.914825,-64.839,301.461
2018:05:27:00:08:04.000,3371.509164,-64.879,300.919
2018:05:27:00:09:04.000,3357.353154,-64.920,300.364
2018:05:27:00:10:04.000,3343.453712,-64.962,299.796
2018:05:27:00:11:04.000,3329.817728,-65.006,299.215
2018:05:27:00:12:04.000,3316.452060,-65.052,298.621
2018:05:27:00:13:04.000,3303.363524,-65.099,298.013
2018:05:27:00:14:04.000,3290.558891,-65.147,297.393
2018:05:27:00:15:04.000,3278.044872,-65.196,296.759
2018:05:27:00:16:04.000,3265.828118,-65.245,296.111
2018:05:27:00:17:04.000,3253.915208,-65.296,295.451
2018:05:27:00:18:04.000,3242.312641,-65.347,294.777
2018:05:27:00:19:04.000,3231.026827,-65.398,294.090
2018:05:27:00:20:04.000,3220.064080,-65.450,293.390
2018:05:27:00:21:04.000,3209.430607,-65.502,292.677
2018:05:27:00:22:04.000,3199.132502,-65.554,291.951
2018:05:27:00:23:04.000,3189.175734,-65.605,291.213
2018:05:27:00:24:04.000,3179.566141,-65.657,290.461
2018:05:27:00:25:04.000,3170.309416,-65.707,289.698
2018:05:27:00:26:04.000,3161.411105,-65.757,288.922
2018:05:27:00:27:04.000,3152.876592,-65.806,288.134
2018:05:27:00:28:04.000,3144.711091,-65.854,287.334
2018:05:27:00:29:04.000,3136.919640,-65.901,286.523
2018:05:27:00:30:04.000,3129.507088,-65.947,285.702
2018:05:27:00:31:04.000,3122.478090,-65.991,284.869
2018:05:27:00:32:04.000,3115.837096,-66.033,284.026
2018:05:27:00:33:04.000,3109.588342,-66.074,283.174
2018:05:27:00:34:04.000,3103.735847,-66.112,282.312
2018:05:27:00:35:04.000,3098.283399,-66.149,281.441
2018:05:27:00:36:04.000,3093.234550,-66.183,280.562
2018:05:27:00:37:04.000,3088.592610,-66.215,279.675
2018:05:27:00:38:04.000,3084.360640,-66.244,278.781
2018:05:27:00:39:04.000,3080.541443,-66.271,277.880
2018:05:27:00:40:04.000,3077.137564,-66.295,276.974
2018:05:27:00:41:04.000,3074.151276,-66.316,276.062
2018:05:27:00:42:04.000,3071.584586,-66.335,275.145
2018:05:27:00:43:04.000,3069.439220,-66.350,274.224
2018:05:27:00:44:04.000,3067.716627,-66.363,273.300
2018:05:27:00:45:04.000,3066.417973,-66.372,272.374
2018:05:27:00:46:04.000,3065.544137,-66.378,271.445
2018:05:27:00:47:04.000,3065.095713,-66.382,270.516
2018:05:27:00:48:04.000,3065.073006,-66.382,269.586
2018:05:27:00:49:04.000,3065.476030,-66.379,268.656
2018:05:27:00:50:04.000,3066.304511,-66.373,267.727
2018:05:27:00:51:04.000,3067.557886,-66.364,266.801
2018:05:27:00:52:04.000,3069.235305,-66.352,265.876
2018:05:27:00:53:04.000,3071.335633,-66.336,264.955
2018:05:27:00:54:04.000,3073.857451,-66.318,264.038
2018:05:27:00:55:04.000,3076.799059,-66.297,263.126
2018:05:27:00:56:04.000,3080.158483,-66.273,262.218
2018:05:27:00:57:04.000,3083.933474,-66.247,261.317
2018:05:27:00:58:04.000,3088.121518,-66.218,260.422
2018:05:27:00:59:04.000,3092.719837,-66.186,259.534
2018:05:27:01:00:04.000,3097.725398,-66.152,258.655
2018:05:27:01:01:04.000,3103.134917,-66.116,257.783
2018:05:27:01:02:04.000,3108.944865,-66.078,256.920
2018:05:27:01:03:04.000,3115.151479,-66.037,256.066
2018:05:27:01:04:04.000,3121.750766,-65.995,255.223
2018:05:27:01:05:04.000,3128.738510,-65.951,254.389
2018:05:27:01:06:04.000,3136.110284,-65.906,253.566
2018:05:27:01:07:04.000,3143.861454,-65.859,252.754
2018:05:27:01:08:04.000,3151.987190,-65.811,251.953
2018:05:27:01:09:04.000,3160.482475,-65.762,251.164
2018:05:27:01:10:04.000,3169.342111,-65.713,250.387
2018:05:27:01:11:04.000,3178.560733,-65.662,249.622
2018:05:27:01:12:04.000,3188.132812,-65.611,248.869
2018:05:27:01:13:04.000,3198.052668,-65.559,248.129
2018:05:27:01:14:04.000,3208.314479,-65.508,247.402
2018:05:27:01:15:04.000,3218.912288,-65.456,246.688
2018:05:27:01:16:04.000,3229.840016,-65.404,245.986
2018:05:27:01:17:04.000,3241.091465,-65.352,245.298
2018:05:27:01:18:04.000,3252.660333,-65.301,244.623
2018:05:27:01:19:04.000,3264.540220,-65.251,243.961
2018:05:27:01:20:04.000,3276.724634,-65.201,243.312
2018:05:27:01:21:04.000,3289.207005,-65.152,242.677
2018:05:27:01:22:04.000,3301.980692,-65.104,242.055
2018:05:27:01:23:04.000,3315.038985,-65.057,241.446
2018:05:27:01:24:04.000,3328.375122,-65.011,240.850
2018:05:27:01:25:04.000,3341.982290,-64.967,240.268
2018:05:27:01:26:04.000,3355.853635,-64.924,239.699
2018:05:27:01:27:04.000,3369.982271,-64.883,239.142
2018:05:27:01:28:04.000,3384.361283,-64.843,238.599
2018:05:27:01:29:04.000,3398.983735,-64.806,238.068
2018:05:27:01:30:04.000,3413.842680,-64.770,237.551
2018:05:27:01:31:04.000,3428.931160,-64.736,237.046
2018:05:27:01:32:04.000,3444.242217,-64.704,236.553
2018:05:27:01:33:04.000,3459.768896,-64.675,236.073
2018:05:27:01:34:04.000,3475.504251,-64.647,235.605
2018:05:27:01:35:04.000,3491.441352,-64.623,235.149
2018:05:27:01:36:04.000,3507.573285,-64.600,234.705
2018:05:27:01:37:04.000,3523.893161,-64.580,234.273
2018:05:27:01:38:04.000,3540.394120,-64.562,233.852
2018:05:27:01:39:04.000,3557.069332,-64.547,233.444
2018:05:27:01:40:04.000,3573.912004,-64.535,233.046
2018:05:27:01:41:04.000,3590.915381,-64.525,232.660
2018:05:27:01:42:04.000,3608.072751,-64.518,232.285
2018:05:27:01:43:04.000,3625.377448,-64.513,231.921
2018:05:27:01:44:04.000,3642.822853,-64.512,231.568
2018:05:27:01:44:09.579,3644.452044,-64.512,231.536
2018:05:27:06:18:32.042,3644.453254,-64.512,308.458
2018:05:27:06:19:32.000,3627.010338,-64.513,308.106
2018:05:27:06:20:32.000,3609.695238,-64.517,307.743
2018:05:27:06:21:32.000,3592.526892,-64.524,307.369
2018:05:27:06:22:32.000,3575.511961,-64.534,306.984
2018:05:27:06:23:32.000,3558.657152,-64.546,306.587
2018:05:27:06:24:32.000,3541.969214,-64.561,306.180
2018:05:27:06:25:32.000,3525.454936,-64.578,305.760
2018:05:27:06:26:32.000,3509.121144,-64.598,305.329
2018:05:27:06:27:32.000,3492.974694,-64.620,304.886
2018:05:27:06:28:32.000,3477.022473,-64.645,304.432
2018:05:27:06:29:32.000,3461.271389,-64.672,303.965
2018:05:27:06:30:32.000,3445.728370,-64.701,303.486
2018:05:27:06:31:32.000,3430.400360,-64.733,302.994
2018:05:27:06:32:32.000,3415.294311,-64.766,302.490
2018:05:27:06:33:32.000,3400.417180,-64.802,301.973
2018:05:27:06:34:32.000,3385.775923,-64.840,301.444
2018:05:27:06:35:32.000,3371.377487,-64.879,300.902
2018:05:27:06:36:32.000,3357.228807,-64.920,300.347
2018:05:27:06:37:32.000,3343.336799,-64.963,299.779
2018:05:27:06:38:32.000,3329.708349,-65.007,299.197
2018:05:27:06:39:32.000,3316.350313,-65.052,298.603
2018:05:27:06:40:32.000,3303.269506,-65.099,297.995
2018:05:27:06:41:32.000,3290.472693,-65.147,297.375
2018:05:27:06:42:32.000,3277.966586,-65.196,296.740
2018:05:27:06:43:32.000,3265.757831,-65.246,296.093
2018:05:27:06:44:32.000,3253.853003,-65.296,295.432
2018:05:27:06:45:32.000,3242.258598,-65.347,294.759
2018:05:27:06:46:32.000,3230.981022,-65.399,294.072
2018:05:27:06:47:32.000,3220.026586,-65.450,293.371
2018:05:27:06:48:32.000,3209.401493,-65.502,292.658
2018:05:27:06:49:32.000,3199.111833,-65.554,291.932
2018:05:27:06:50:32.000,3189.163570,-65.605,291.193
2018:05:27:06:51:32.000,3179.562538,-65.657,290.442
2018:05:27:06:52:32.000,3170.314426,-65.707,289.678
2018:05:27:06:53:32.000,3161.424774,-65.757,288.902
2018:05:27:06:54:32.000,3152.898962,-65.806,288.114
2018:05:27:06:55:32.000,3144.742199,-65.854,287.315
2018:05:27:06:56:32.000,3136.959517,-65.901,286.504
2018:05:27:06:57:32.000,3129.555760,-65.946,285.682
2018:05:27:06:58:32.000,3122.535579,-65.990,284.849
2018:05:27:06:59:32.000,3115.903416,-66.033,284.006
2018:05:27:07:00:32.000,3109.663504,-66.073,283.154
2018:05:27:07:01:32.000,3103.819855,-66.112,282.292
2018:05:27:07:02:32.000,3098.376250,-66.148,281.421
2018:05:27:07:03:32.000,3093.336238,-66.182,280.542
2018:05:27:07:04:32.000,3088.703120,-66.214,279.656
2018:05:27:07:05:32.000,3084.479953,-66.243,278.762
2018:05:27:07:06:32.000,3080.669535,-66.270,277.861
2018:05:27:07:07:32.000,3077.274401,-66.294,276.954
2018:05:27:07:08:32.000,3074.296823,-66.315,276.042
2018:05:27:07:09:32.000,3071.738798,-66.333,275.126
2018:05:27:07:10:32.000,3069.602048,-66.349,274.205
2018:05:27:07:11:32.000,3067.888015,-66.361,273.282
2018:05:27:07:12:32.000,3066.597860,-66.371,272.355
2018:05:27:07:13:32.000,3065.732456,-66.377,271.427
2018:05:27:07:14:32.000,3065.292390,-66.380,270.498
2018:05:27:07:15:32.000,3065.277962,-66.380,269.568
2018:05:27:07:16:32.000,3065.689181,-66.377,268.638
2018:05:27:07:17:32.000,3066.525767,-66.371,267.710
2018:05:27:07:18:32.000,3067.787152,-66.362,266.783
2018:05:27:07:19:32.000,3069.472480,-66.350,265.859
2018:05:27:07:20:32.000,3071.580612,-66.335,264.939
2018:05:27:07:21:32.000,3074.110121,-66.316,264.022
2018:05:27:07:22:32.000,3077.059306,-66.295,263.110
2018:05:27:07:23:32.000,3080.426186,-66.272,262.203
2018:05:27:07:24:32.000,3084.208509,-66.245,261.302
2018:05:27:07:25:32.000,3088.403756,-66.216,260.407
2018:05:27:07:26:32.000,3093.009144,-66.184,259.520
2018:05:27:07:27:32.000,3098.021638,-66.150,258.640
2018:05:27:07:28:32.000,3103.437948,-66.114,257.769
2018:05:27:07:29:32.000,3109.254544,-66.076,256.907
2018:05:27:07:30:32.000,3115.467658,-66.035,256.053
2018:05:27:07:31:32.000,3122.073294,-65.993,255.210
2018:05:27:07:32:32.000,3129.067235,-65.949,254.377
2018:05:27:07:33:32.000,3136.445049,-65.904,253.554
2018:05:27:07:34:32.000,3144.202101,-65.857,252.742
2018:05:27:07:35:32.000,3152.333558,-65.809,251.942
2018:05:27:07:36:32.000,3160.834402,-65.760,251.153
2018:05:27:07:37:32.000,3169.699434,-65.711,250.377
2018:05:27:07:38:32.000,3178.923284,-65.660,249.612
2018:05:27:07:39:32.000,3188.500425,-65.609,248.860
2018:05:27:07:40:32.000,3198.425174,-65.557,248.120
2018:05:27:07:41:32.000,3208.691710,-65.506,247.393
2018:05:27:07:42:32.000,3219.294074,-65.454,246.679
2018:05:27:07:43:32.000,3230.226186,-65.402,245.978
2018:05:27:07:44:32.000,3241.481848,-65.351,245.290
2018:05:27:07:45:32.000,3253.054759,-65.300,244.615
2018:05:27:07:46:32.000,3264.938516,-65.249,243.954
2018:05:27:07:47:32.000,3277.126631,-65.199,243.306
2018:05:27:07:48:32.000,3289.612533,-65.150,242.671
2018:05:27:07:49:32.000,3302.389580,-65.102,242.049
2018:05:27:07:50:32.000,3315.451064,-65.055,241.440
2018:05:27:07:51:32.000,3328.790223,-65.010,240.845
2018:05:27:07:52:32.000,3342.400246,-64.966,240.263
2018:05:27:07:53:32.000,3356.274279,-64.923,239.694
2018:05:27:07:54:32.000,3370.405438,-64.882,239.138
2018:05:27:07:55:32.000,3384.786808,-64.842,238.595
2018:05:27:07:56:32.000,3399.411456,-64.805,238.065
2018:05:27:07:57:32.000,3414.272434,-64.769,237.547
2018:05:27:07:58:32.000,3429.362788,-64.735,237.042
2018:05:27:07:59:32.000,3444.675560,-64.703,236.550
2018:05:27:08:00:32.000,3460.203799,-64.674,236.070
2018:05:27:08:01:32.000,3475.940558,-64.647,235.602
2018:05:27:08:02:32.000,3491.878910,-64.622,235.147
2018:05:27:08:03:32.000,3508.011943,-64.599,234.703
2018:05:27:08:04:32.000,3524.332771,-64.579,234.271
2018:05:27:08:05:32.000,3540.834534,-64.562,233.851
2018:05:27:08:06:32.000,3557.510405,-64.547,233.443
2018:05:27:08:07:32.000,3574.353593,-64.534,233.046
2018:05:27:08:08:32.000,3591.357345,-64.525,232.660
2018:05:27:08:09:32.000,3608.514951,-64.518,232.285
2018:05:27:08:10:32.000,3625.819747,-64.513,231.921
2018:05:27:08:11:32.000,3643.265117,-64.512,231.568
2018:05:27:08:11:36.070,3644.453281,-64.512,231.545
2018:05:27:12:45:59.262,3644.452036,-64.512,308.449
2018:05:27:12:46:59.000,3627.076331,-64.513,308.098
2018:05:27:12:47:59.000,3609.764279,-64.517,307.735
2018:05:27:12:48:59.000,3592.598989,-64.524,307.361
2018:05:27:12:49:59.000,3575.587120,-64.534,306.976
2018:05:27:12:50:59.000,3558.735379,-64.546,306.580
2018:05:27:12:51:59.000,3542.050513,-64.561,306.172
2018:05:27:12:52:59.000,3525.539310,-64.578,305.753
2018:05:27:12:53:59.000,3509.208594,-64.598,305.322
2018:05:27:12:54:59.000,3493.065222,-64.620,304.879
2018:05:27:12:55:59.000,3477.116076,-64.645,304.424
2018:05:27:12:56:59.000,3461.368064,-64.672,303.957
2018:05:27:12:57:59.000,3445.828114,-64.701,303.478
2018:05:27:12:58:59.000,3430.503167,-64.733,302.986
2018:05:27:12:59:59.000,3415.400175,-64.766,302.482
2018:05:27:13:00:59.000,3400.526091,-64.802,301.966
2018:05:27:13:01:59.000,3385.887870,-64.839,301.436
2018:05:27:13:02:59.000,3371.492459,-64.879,300.894
2018:05:27:13:03:59.000,3357.346790,-64.920,300.339
2018:05:27:13:04:59.000,3343.457776,-64.962,299.771
2018:05:27:13:05:59.000,3329.832304,-65.006,299.190
2018:05:27:13:06:59.000,3316.477226,-65.052,298.596
2018:05:27:13:07:59.000,3303.399355,-65.099,297.988
2018:05:27:13:08:59.000,3290.605456,-65.147,297.367
2018:05:27:13:09:59.000,3278.102237,-65.195,296.733
2018:05:27:13:10:59.000,3265.896343,-65.245,296.086
2018:05:27:13:11:59.000,3253.994348,-65.296,295.425
2018:05:27:13:12:59.000,3242.402744,-65.347,294.752
2018:05:27:13:13:59.000,3231.127936,-65.398,294.065
2018:05:27:13:14:59.000,3220.176233,-65.450,293.364
2018:05:27:13:15:59.000,3209.553835,-65.501,292.651
2018:05:27:13:16:59.000,3199.266831,-65.553,291.925
2018:05:27:13:17:59.000,3189.321182,-65.605,291.187
