"Time (YYYY:MM:DD)","Range (km)"
2018:06:09:15:13:40.464,4407.312026
2018:06:09:16:13:40.000,3232.083794
2018:06:09:17:13:40.000,3162.623641
2018:06:09:18:13:40.000,4283.209684
2018:06:09:18:19:12.923,4407.311371
2018:06:09:23:21:19.969,4407.312106
2018:06:10:00:21:19.000,3232.197100
2018:06:10:01:21:19.000,3162.526357
2018:06:10:02:21:19.000,4283.021066
2018:06:10:02:26:52.432,4407.312106
2018:06:10:07:28:59.481,4407.311087
2018:06:10:08:28:59.000,3232.087239
2018:06:10:09:28:59.000,3162.620183
2018:06:10:10:28:59.000,4283.202816
2018:06:10:10:34:31.943,4407.312038
2018:06:10:15:36:38.993,4407.312088
2018:06:10:16:36:38.000,3232.202725
2018:06:10:17:36:38.000,3162.520986
2018:06:10:18:36:38.000,4283.010427
2018:06:10:18:42:11.456,4407.310365
2018:06:10:23:44:18.514,4407.311993
2018:06:11:00:44:18.000,3232.095407
2018:06:11:01:44:18.000,3162.612580
2018:06:11:02:44:18.000,4283.187783
2018:06:11:02:49:50.984,4407.312106
2018:06:11:07:51:58.042,4407.312106
2018:06:11:08:51:58.000,3231.989689
2018:06:11:09:51:58.000,3162.702818
2018:06:11:10:51:58.000,4283.362426
2018:06:11:10:57:30.514,4407.311987
2018:06:11:15:59:37.582,4407.310453
2018:06:11:16:59:37.000,3232.109906
2018:06:11:17:59:37.000,3162.599447
2018:06:11:18:59:37.000,4283.161867
2018:06:11:19:05:10.053,4407.312078
2018:06:12:00:07:17.122,4407.312050
2018:06:12:01:07:17.000,3232.008028
2018:06:12:02:07:17.000,3162.686334
2018:06:12:03:07:17.000,4283.329931
2018:06:12:03:12:49.599,4407.310857
2018:06:12:08:14:56.677,4407.311979
2018:06:12:09:14:56.000,3232.132566
2018:06:12:10:14:56.000,3162.579218
2018:06:12:11:14:56.000,4283.122010
2018:06:12:11:20:29.161,4407.312106
2018:06:12:16:22:36.243,4407.311650
2018:06:12:17:22:36.000,3232.035475
2018:06:12:18:22:36.000,3162.661946
2018:06:12:19:22:36.000,4283.281930
2018:06:12:19:28:08.731,4407.312015
2018:06:13:00:30:15.820,4407.312103
2018:06:13:01:30:15.000,3232.165274
2018:06:13:02:30:15.000,3162.550293
2018:06:13:03:30:15.000,4283.065108
2018:06:13:03:35:48.314,4407.312104
2018:06:13:08:37:55.411,4407.312011
2018:06:13:09:37:55.000,3232.073867
2018:06:13:10:37:55.000,3162.628102
2018:06:13:11:37:55.000,4283.215419
2018:06:13:11:43:27.909,4407.311754
2018:06:13:16:45:35.016,4407.312106
2018:06:13:17:45:35.000,3231.985609
2018:06:13:18:45:35.000,3162.703230
2018:06:13:19:45:35.000,4283.360465
2018:06:13:19:51:07.520,4407.311979
2018:06:14:00:53:14.639,4407.310782
2018:06:14:01:53:14.000,3232.124768
2018:06:14:02:53:14.000,3162.583501
2018:06:14:03:53:14.000,4283.127903
2018:06:14:03:58:47.146,4407.312055
2018:06:14:09:00:54.270,4407.312074
2018:06:14:10:00:54.000,3232.043185
2018:06:14:11:00:54.000,3162.652885
2018:06:14:12:00:54.000,4283.261784
2018:06:14:12:06:26.782,4407.310499
2018:06:14:17:08:33.920,4407.311985
2018:06:14:18:08:33.000,3232.189218
2018:06:14:19:08:33.000,3162.527304
2018:06:14:20:08:33.000,4283.017811
2018:06:14:20:14:06.442,4407.312106
2018:06:15:01:16:13.585,4407.312106
2018:06:15:02:16:13.000,3232.114559
2018:06:15:03:16:13.000,3162.590756
2018:06:15:04:16:13.000,4283.140197
2018:06:15:04:21:46.113,4407.311996
2018:06:15:09:23:53.270,4407.310345
2018:06:15:10:23:53.000,3232.043338
2018:06:15:11:23:53.000,3162.651300
2018:06:15:12:23:53.000,4283.256937
2018:06:15:12:29:25.800,4407.312092
2018:06:15:17:31:32.961,4407.312033
2018:06:15:18:31:32.000,3232.199601
2018:06:15:19:31:32.000,3162.517016
2018:06:15:20:31:32.000,4282.996116
2018:06:15:20:37:05.498,4407.311194
2018:06:16:01:39:12.670,4407.312106
2018:06:16:02:39:12.000,3232.134865
2018:06:16:03:39:12.000,3162.572041
2018:06:16:04:39:12.000,4283.102231
2018:06:16:04:44:45.216,4407.312106
2018:06:16:09:46:52.396,4407.311248
2018:06:16:10:46:52.000,3232.073091
2018:06:16:11:46:52.000,3162.624581
2018:06:16:12:46:52.000,4283.203555
2018:06:16:12:52:24.943,4407.312031
2018:06:16:17:54:32.129,4407.312093
2018:06:16:18:54:32.000,3232.014010
2018:06:16:19:54:32.000,3162.674868
2018:06:16:20:54:32.000,4283.300552
2018:06:16:21:00:04.678,4407.310339
2018:06:17:02:02:11.875,4407.311998
2018:06:17:03:02:11.000,3232.181448
2018:06:17:04:02:11.000,3162.531153
2018:06:17:05:02:11.000,4283.021653
2018:06:17:05:07:44.433,4407.312106
2018:06:17:10:09:51.630,4407.312106
2018:06:17:11:09:51.000,3232.126751
2018:06:17:12:09:51.000,3162.577757
2018:06:17:13:09:51.000,4283.111666
2018:06:17:13:15:24.190,4407.311984
2018:06:17:18:17:31.396,4407.310523
2018:06:17:19:17:31.000,3232.073694
2018:06:17:20:17:31.000,3162.623018
2018:06:17:21:17:31.000,4283.199138
2018:06:17:21:23:03.956,4407.312072
2018:06:18:02:25:11.160,4407.312057
2018:06:18:03:25:11.000,3232.021868
2018:06:18:04:25:11.000,3162.667286
2018:06:18:05:25:11.000,4283.284755
2018:06:18:05:30:43.722,4407.310749
2018:06:18:10:32:50.933,4407.311980
2018:06:18:11:32:50.000,3232.194994
2018:06:18:12:32:50.000,3162.518911
2018:06:18:13:32:50.000,4282.997121
2018:06:18:13:38:23.499,4407.312106
2018:06:18:18:40:30.707,4407.311796
2018:06:18:19:40:30.000,3232.144329
2018:06:18:20:40:30.000,3162.562269
2018:06:18:21:40:30.000,4283.081160
2018:06:18:21:46:03.273,4407.312010
2018:06:19:02:48:10.480,4407.312105
2018:06:19:03:48:10.000,3232.093607
2018:06:19:04:48:10.000,3162.605736
2018:06:19:05:48:10.000,4283.165482
2018:06:19:05:53:43.046,4407.312102
2018:06:19:10:55:50.252,4407.312016
2018:06:19:11:55:50.000,3232.042407
2018:06:19:12:55:50.000,3162.649671
2018:06:19:13:55:50.000,4283.250781
2018:06:19:14:01:22.816,4407.311620
2018:06:19:19:03:30.020,4407.312106
2018:06:19:20:03:30.000,3231.990324
2018:06:19:21:03:30.000,3162.694420
2018:06:19:22:03:30.000,4283.337721
2018:06:19:22:09:02.583,4407.311979
2018:06:20:03:11:09.786,4407.310873
2018:06:20:04:11:09.000,3232.161106
2018:06:20:05:11:09.000,3162.548279
2018:06:20:06:11:09.000,4283.054822
2018:06:20:06:16:42.343,4407.312049
2018:06:20:11:18:49.539,4407.312079
2018:06:20:12:18:49.000,3232.106115
2018:06:20:13:18:49.000,3162.595583
2018:06:20:14:18:49.000,4283.146869
2018:06:20:14:24:22.092,4407.310448
2018:06:20:19:26:29.286,4407.311987
2018:06:20:20:26:29.000,3232.049180
2018:06:20:21:26:29.000,3162.644601
2018:06:20:22:26:29.000,4283.242283
2018:06:20:22:32:01.839,4407.312106
2018:06:21:03:34:09.023,4407.312106
2018:06:21:04:34:09.000,3231.990014
2018:06:21:05:34:09.000,3162.695576
2018:06:21:06:34:09.000,4283.341524
2018:06:21:06:39:41.572,4407.311993
2018:06:21:11:41:48.754,4407.310365
2018:06:21:12:41:48.000,3232.152497
2018:06:21:13:41:48.000,3162.556685
2018:06:21:14:41:48.000,4283.072884
2018:06:21:14:47:21.294,4407.312088
2018:06:21:19:49:28.464,4407.312038
2018:06:21:20:49:28.000,3232.088139
2018:06:21:21:49:28.000,3162.612141
2018:06:21:22:49:28.000,4283.180905
2018:06:21:22:55:01.001,4407.311093
2018:06:22:03:57:08.165,4407.312106
2018:06:22:04:57:08.000,3232.020924
2018:06:22:05:57:08.000,3162.670081
2018:06:22:06:57:08.000,4283.293746
2018:06:22:07:02:40.701,4407.312106
2018:06:22:12:04:47.856,4407.311357
