"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2010:01:27:07:51:28.328,2010:01:27:09:36:59.573,6331.245
2010:01:29:15:10:40.010,2010:01:29:17:02:25.213,6705.203
2010:01:31:22:31:01.848,2010:02:01:00:29:35.994,7114.145
2010:02:03:05:52:40.638,2010:02:03:07:58:37.731,7557.093
2010:02:05:13:15:44.421,2010:02:05:15:29:37.800,8033.379
2010:02:07:20:40:24.609,2010:02:07:23:02:48.355,8543.747
2010:02:10:04:06:57.097,2010:02:10:06:38:27.552,9090.455
2010:02:12:11:35:43.224,2010:02:12:14:17:00.324,9677.101
2010:02:14:19:07:11.170,2010:02:14:21:58:59.710,10308.540
2010:02:17:02:41:57.731,2010:02:17:05:45:08.380,10990.648
2010:02:19:10:20:50.055,2010:02:19:13:36:19.698,11729.644
2010:02:21:18:04:46.957,2010:02:21:21:33:37.730,12530.773
2010:02:24:01:54:58.561,2010:02:24:05:38:14.408,13395.847
2010:02:26:09:52:41.547,2010:02:26:13:51:20.627,14319.080
2010:02:28:17:59:07.660,2010:02:28:22:13:49.944,15282.285
2010:03:03:02:15:11.584,2010:03:03:06:46:06.197,16254.613
2010:03:05:10:41:30.359,2010:03:05:15:28:09.512,17199.153
2010:03:07:19:18:31.185,2010:03:08:00:19:51.164,18079.979
2010:03:10:04:06:34.016,2010:03:10:09:20:59.415,18865.399
2010:03:12:13:05:47.747,2010:03:12:18:31:17.867,19530.120
2010:03:14:22:16:06.074,2010:03:15:03:50:23.635,20057.561
2010:03:17:07:37:04.493,2010:03:17:13:17:44.934,20440.441
2010:03:19:17:07:54.833,2010:03:19:22:52:32.685,20677.853
2010:03:22:02:47:13.486,2010:03:22:08:33:23.021,20769.536
2010:03:24:12:32:44.504,2010:03:24:18:17:55.161,20710.657
2010:03:26:22:21:04.298,2010:03:27:04:02:35.938,20491.640
2010:03:29:08:07:43.107,2010:03:29:13:42:50.429,20107.322
2010:03:31:17:47:47.588,2010:03:31:23:13:58.427,19570.839
2010:04:03:03:17:18.439,2010:04:03:08:32:33.976,18915.537
2010:04:05:12:34:02.309,2010:04:05:17:37:03.513,18181.205
2010:04:07:21:37:25.469,2010:04:08:02:27:27.244,17401.775
2010:04:10:06:28:00.300,2010:04:10:11:04:42.327,16602.027
2010:04:12:15:06:55.548,2010:04:12:19:30:14.024,15798.476
2010:04:14:23:35:36.405,2010:04:15:03:45:37.054,15000.650
2010:04:17:07:55:30.190,2010:04:17:11:52:22.848,14212.658
2010:04:19:16:07:54.697,2010:04:19:19:51:50.456,13435.759
2010:04:22:00:13:50.204,2010:04:22:03:45:01.884,12671.681
2010:04:24:08:13:57.418,2010:04:24:11:32:42.613,11925.194
2010:04:26:16:08:41.506,2010:04:26:19:15:26.232,11204.726
2010:04:28:23:58:20.652,2010:04:29:02:53:41.237,10520.586
2010:05:01:07:43:15.376,2010:05:01:10:27:56.932,9881.556
2010:05:03:15:23:52.880,2010:05:03:17:58:45.115,9292.235
2010:05:05:23:00:44.946,2010:05:06:01:26:37.857,8752.911
2010:05:08:06:34:23.842,2010:05:08:08:52:04.763,8260.921
2010:05:10:14:05:19.747,2010:05:10:16:15:31.735,7811.988
2010:05:12:21:34:00.035,2010:05:12:23:37:20.965,7400.930
2010:05:15:05:00:49.215,2010:05:15:06:57:51.292,7022.077
2010:05:17:12:26:08.313,2010:05:17:14:17:18.173,6669.861
2010:05:19:19:50:13.564,2010:05:19:21:35:53.303,6339.739
2010:05:22:03:13:15.581,2010:05:22:04:53:44.552,6028.971
2010:05:24:10:35:20.028,2010:05:24:12:10:56.713,5736.684
2010:05:26:17:56:29.518,2010:05:26:19:27:32.763,5463.245
2010:05:29:01:16:45.763,2010:05:29:02:43:35.101,5209.337
2010:05:31:08:36:11.162,2010:05:31:09:59:06.354,4975.192
2010:06:02:15:54:49.301,2010:06:02:17:14:09.574,4760.273
2010:06:04:23:12:44.642,2010:06:05:00:28:48.045,4563.404
2010:06:07:06:30:02.025,2010:06:07:07:43:05.026,4383.001
2010:06:09:13:46:46.419,2010:06:09:14:57:03.657,4217.238
2010:06:11:21:03:02.917,2010:06:11:22:10:46.964,4064.047
2010:06:14:04:18:56.649,2010:06:14:05:24:17.856,3921.207
2010:06:16:11:34:32.251,2010:06:16:12:37:38.878,3786.627
2010:06:18:18:49:53.043,2010:06:18:19:50:51.846,3658.803
2010:06:21:02:05:00.685,2010:06:21:03:03:57.723,3537.038
2010:06:23:09:19:55.548,2010:06:23:10:16:56.852,3421.304
2010:06:25:16:34:37.403,2010:06:25:17:29:49.273,3311.870
2010:06:26:19:55:52.296,2010:06:26:22:24:13.094,8900.798
2010:06:27:23:49:05.970,2010:06:28:00:42:35.004,3209.035
2010:06:30:07:03:21.261,2010:06:30:07:55:14.194,3112.933

