"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2010:03:31:23:47:25.729,2010:04:03:02:42:57.124,183331.395
2010:04:03:09:02:41.754,2010:04:05:12:02:41.751,183599.997
2010:04:05:18:03:46.002,2010:04:07:21:09:11.516,183925.513
2010:04:08:02:50:51.024,2010:04:10:06:02:48.597,184317.573
2010:04:10:11:25:01.484,2010:04:12:14:44:35.592,184774.108
2010:04:12:19:47:46.230,2010:04:14:23:15:54.658,185288.428
2010:04:15:04:00:40.887,2010:04:17:07:38:12.153,185851.266
2010:04:17:12:05:16.233,2010:04:19:15:52:45.949,186449.716
2010:04:19:20:02:50.029,2010:04:22:00:00:36.790,187066.762
2010:04:22:03:54:22.907,2010:04:24:08:02:25.866,187682.960
2010:04:24:11:40:39.094,2010:04:26:15:58:38.842,188279.748
2010:04:26:19:22:10.998,2010:04:28:23:49:34.584,188843.586
2010:04:29:02:59:25.863,2010:05:01:07:35:34.677,189368.814
2010:05:01:10:32:51.557,2010:05:03:15:17:07.681,189856.124
2010:05:03:18:02:58.323,2010:05:05:22:54:46.863,190308.540
2010:05:06:01:30:16.721,2010:05:08:06:29:05.908,190729.188
2010:05:08:08:55:15.025,2010:05:10:14:00:36.242,191121.217
2010:05:10:16:18:18.002,2010:05:12:21:29:46.314,191488.312
2010:05:12:23:39:46.925,2010:05:15:04:57:01.514,191834.589
2010:05:15:06:59:59.881,2010:05:17:12:22:43.587,192163.706
2010:05:17:14:19:11.748,2010:05:19:19:47:09.278,192477.529
2010:05:19:21:37:33.801,2010:05:22:03:10:29.512,192775.711
2010:05:22:04:55:13.632,2010:05:24:10:32:50.160,193056.528
2010:05:24:12:12:15.848,2010:05:26:17:54:13.965,193318.117
2010:05:26:19:28:43.284,2010:05:29:01:14:42.782,193559.499
2010:05:29:02:44:38.202,2010:05:31:08:34:19.169,193780.967
2010:05:31:10:00:03.085,2010:06:02:15:53:06.913,193983.828
2010:06:02:17:15:00.840,2010:06:04:23:11:10.668,194169.828
2010:06:05:00:29:34.605,2010:06:07:06:28:35.459,194340.854
2010:06:07:07:43:47.512,2010:06:09:13:45:26.426,194498.914
2010:06:09:14:57:42.580,2010:06:11:21:01:48.814,194646.233
2010:06:11:22:11:22.750,2010:06:14:04:17:47.890,194785.140
2010:06:14:05:24:50.836,2010:06:16:11:33:28.390,194917.554
2010:06:16:12:38:09.324,2010:06:18:18:48:53.696,195044.372
2010:06:18:19:51:19.990,2010:06:21:02:04:05.491,195165.501
2010:06:21:03:04:23.777,2010:06:23:09:19:04.156,195280.380
2010:06:23:10:17:21.021,2010:06:25:16:33:49.462,195388.441
2010:06:25:17:30:11.752,2010:06:26:18:43:15.557,90783.805
2010:06:26:23:32:21.327,2010:06:27:23:48:21.144,87359.817
2010:06:28:00:42:55.985,2010:06:30:07:02:39.236,195583.251
2010:06:30:07:55:33.844,2010:06:30:10:00:00.000,7466.156

"Start Time (YYYY:MM:DD)","Stop Time (YYYY:MM:DD)","Duration (sec)"
2008:07:03:16:15:35.938,2008:07:03:16:16:07.891,31.953
2008:07:03:17:01:45.847,2008:07:03:17:02:00.929,15.082
2008:07:05:23:28:53.177,2008:07:05:23:29:23.485,30.308
2008:07:06:00:13:57.135,2008:07:06:00:14:11.511,14.376
2008:07:08:06:42:05.371,2008:07:08:06:42:34.129,28.758
2008:07:08:07:26:06.340,2008:07:08:07:26:20.066,13.726
2008:07:10:13:55:13.248,2008:07:10:13:55:40.547,27.300
2008:07:10:14:38:13.852,2008:07:10:14:38:26.981,13.129
2008:07:12:21:08:17.025,2008:07:12:21:08:42.955,25.930
2008:07:12:21:50:19.827,2008:07:12:21:50:32.409,12.583
2008:07:15:04:21:16.647,2008:07:15:04:21:41.304,24.657
2008:07:15:05:02:24.284,2008:07:15:05:02:36.375,12.091
2008:07:17:11:34:11.936,2008:07:17:11:34:35.417,23.481
