"Time (YYYY:MM:DD)","Range (km)"
2018:05:23:00:42:06.000,3844.978708
2018:05:23:00:52:06.000,3681.068470
2018:05:23:01:02:06.000,3536.844171
2018:05:23:01:12:06.000,3417.264809
2018:05:23:01:22:06.000,3327.011821
2018:05:23:01:32:06.000,3270.020773
2018:05:23:01:42:06.000,3248.978756
2018:05:23:01:52:06.000,3264.920715
2018:05:23:02:02:06.000,3317.060446
2018:05:23:02:12:06.000,3402.919680
2018:05:23:02:22:06.000,3518.706472
2018:05:23:02:32:06.000,3659.812860
2018:05:23:02:42:06.000,3821.294120
2018:05:23:02:52:06.000,3998.241800
2018:05:23:03:02:06.000,4186.024807
2018:05:23:03:12:06.000,4380.415179
2018:05:23:03:13:28.093,4407.311080
2018:05:23:08:25:54.016,4407.312053
2018:05:23:08:35:54.000,4212.320258
2018:05:23:08:45:54.000,4023.385546
2018:05:23:08:55:54.000,3844.681099
2018:05:23:09:05:54.000,3680.788232
2018:05:23:09:15:54.000,3536.589076
2018:05:23:09:25:54.000,3417.042899
2018:05:23:09:35:54.000,3326.830831
2018:05:23:09:45:54.000,3269.887372
2018:05:23:09:55:54.000,3248.897752
2018:05:23:10:05:54.000,3264.894437
2018:05:23:10:15:54.000,3317.088509
2018:05:23:10:25:54.000,3402.999199
2018:05:23:10:35:54.000,3518.832625
2018:05:23:10:45:54.000,3659.979589
2018:05:23:10:55:54.000,3821.494792
2018:05:23:11:05:54.000,3998.469717
2018:05:23:11:15:54.000,4186.273539
2018:05:23:11:25:54.000,4380.678742
2018:05:23:11:27:15.287,4407.312035
2018:05:23:16:39:41.049,4407.311586
2018:05:23:16:49:41.000,4212.320931
2018:05:23:16:59:41.000,4023.375486
2018:05:23:17:09:41.000,3844.659452
2018:05:23:17:19:41.000,3680.754353
2018:05:23:17:29:41.000,3536.542647
2018:05:23:17:39:41.000,3416.984060
2018:05:23:17:49:41.000,3326.760301
2018:05:23:17:59:41.000,3269.806519
2018:05:23:18:09:41.000,3248.808561
2018:05:23:18:19:41.000,3264.799372
